Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0797.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0798.fp2.repr,z1,0,1,0,0,0,0
COPE_0799.fp2.repr,z1,0,1,0,0,0,0
COPE_0800.fp2.repr,NA,0,0.9895889791779584,0,1.3200026400052802e-4,0,0.010279020558041117
COPE_0801.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0802.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0803.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0804.fp2.repr,NA,0,0.999933,0,0,0,6.7e-5
COPE_0805.fp2.repr,z1,0,1,0,0,0,0
COPE_0806.fp2.repr,NA,0,0.99816,0,1.1e-5,0,0.001829
COPE_0807.fp2.repr,z1,0,0.999743,0,1.1e-5,0,2.46e-4
COPE_0808.fp2.repr,z1,0,1,0,0,0,0
COPE_0809.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0810.fp2.repr,z1,0,0.999992,0,0,0,8e-6
COPE_0811.fp2.repr,z1,3.5999964000036005e-5,0.9983260016739983,1.999998000002e-5,3.37999662000338e-4,1.5999984000016e-5,0.001263998736001264
COPE_0812.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0813.fp2.repr,z1,0,1,0,0,0,0
COPE_0814.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0815.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0816.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0817.fp2.repr,z1,0.08078691921308079,0.9117540882459119,0.0012259987740012262,0.001562998437001563,0.00164999835000165,0.00301999698000302
COPE_0818.fp2.repr,z1,0,1,0,0,0,0
COPE_0819.fp2.repr,z1,0,1,0,0,0,0
COPE_0820.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0821.fp2.repr,NA,0,0,0.9774928874644373,9.690048450242249e-4,9.000045000225e-6,0.021529107645538226
