Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0677.fp2.repr,NA,0,0.9999035000000001,0,0,0,9.65e-5
COPE_0678.fp2.repr,z1,0,0.9999895,0,0,0,1.0500000000000001e-5
COPE_0679.fp2.repr,z1,1.0000006000003599e-5,0.9986049991629995,1.5600009360005616e-5,1.2130007278004366e-4,7.400004440002663e-6,0.0012407007444204465
COPE_0680.fp2.repr,z1,0,0.9999952,0,0,0,4.800000000000001e-6
COPE_0681.fp2.repr,z1,0,0.9999796,0,2.0000000000000002e-7,0,2.02e-5
COPE_0682.fp2.repr,z1,0,0.999988,0,0,0,1.2e-5
COPE_0683.fp2.repr,z1,0,0.9999985,0,0,0,1.5e-6
COPE_0684.fp2.repr,z1,0,0.99999420000000006,0,0,0,5.8e-6
COPE_0685.fp2.repr,z1,0,0.999987,0,0,0,1.3e-5
COPE_0686.fp2.repr,z1,0,0.9999908,0,0,0,9.2e-6
COPE_0687.fp2.repr,NA,0,0.7116536558268279,0,3.5930017965008984e-4,0,0.287987043993522
COPE_0688.fp2.repr,z1,0,0.9999926,0,0,0,7.4e-6
COPE_0690.fp2.repr,NA,0.99848719984872,0,0,4.400000440000044e-6,0.0015084001508400152,0
COPE_0692.fp2.repr,z0,0.99984540001546,0,0,6.99999930000007e-7,1.5389998461000153e-4,0
COPE_0693.fp2.repr,NA,0,0.9996555000344499,0,3.099999690000031e-6,0,3.413999658600034e-4
COPE_0694.fp2.repr,z1,0,0.9999818,0,0,0,1.82e-5
COPE_0695.fp2.repr,z1,0,0.9999945,0,0,0,5.5e-6
COPE_0696.fp2.repr,z1,0,0.9999988,0,0,0,1.2000000000000002e-6
COPE_0697.fp2.repr,NA,0,0.9999806,0,0,0,1.94e-5
COPE_0698.fp2.repr,z1,6.404007044407749e-4,0.9970070967078064,1.0160011176012294e-4,3.408003748804124e-4,5.720006292006922e-5,0.0018529020381922421
COPE_0699.fp2.repr,z1,0,0.9999961,0,0,0,3.9e-6
COPE_0700.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0701.fp2.repr,z1,6.00000240000096e-7,0.99982719993088,8.00000320000128e-7,2.0300008120003248e-5,2.0000008000003202e-7,1.5090006036002414e-4
COPE_0702.fp2.repr,z1,0,0.9999913,0,0,0,8.7e-6
COPE_0703.fp2.repr,z1,0,0.9999851,0,0,0,1.49e-5
COPE_0704.fp2.repr,z0,0.9999818,0,0,0,1.8200000000000002e-5,0
COPE_0705.fp2.repr,z1,0,0.99999009999901,0,0,0,9.900000990000098e-6
COPE_0706.fp2.repr,z1,0,0.99985289994116,0,5.500002200000881e-6,0,1.4160005664002267e-4
COPE_0707.fp2.repr,NA,0.9024322414593449,0.07892434735460842,0.002136401281840769,0.003847902308741385,0.011218106730864038,0.0014410008646005188
COPE_0708.fp2.repr,z1,0,0.9999921,0,0,0,7.9e-6
COPE_0709.fp2.repr,z1,0,0.999999,0,0,0,1e-6
COPE_0710.fp2.repr,z1,0,0.9994999996999999,1.0000006000003601e-7,3.590002154001292e-5,1.0000006000003601e-7,4.63900278340167e-4
COPE_0711.fp2.repr,z0,0.9997821,0,0,6.720000000000001e-5,1.507e-4,0
COPE_0712.fp2.repr,z1,0,0.99984119996824,9.000001800000361e-7,1.7700003540000707e-5,2.0000004000000802e-7,1.400000280000056e-4
COPE_0713.fp2.repr,NA,0,0.9999785,0,0,0,2.15e-5
COPE_0715.fp2.repr,z1,0,0.9999945,0,0,0,5.500000000000001e-6
COPE_0716.fp2.repr,z1,0,0.9999859,0,0,0,1.41e-5
COPE_0717.fp2.repr,NA,0,0.9998351,0,1.6000000000000001e-6,0,1.6329999999999998e-4
COPE_0718.fp2.repr,z0,0.99998650000135,0,0,1.3999998600000138e-6,1.209999879000012e-5,0
COPE_0719.fp2.repr,z0,0.9999872,0,0,0,1.28e-5,0
COPE_0720.fp2.repr,z0,0.9999874,0,0,0,1.2600000000000001e-5,0
COPE_0721.fp2.repr,z0,0.999992,0,0,0,8e-6,0
COPE_0722.fp2.repr,z1,0,0.9999901,0,0,0,9.9e-6
COPE_0723.fp2.repr,z0,0.9998474,0,0,1.8000000000000001e-6,1.508e-4,0
COPE_0724.fp2.repr,NA,0.99981989996398,0,0,1.0000002000000401e-7,1.800000360000072e-4,0
COPE_0725.fp2.repr,NA,0,0.99248609924861,0,0.00604070060407006,0,0.0014732001473200147
COPE_0726.fp2.repr,z1,0,0.9999700999970099,0,1.700000170000017e-6,0,2.820000282000028e-5
COPE_0727.fp2.repr,NA,0,0.9998704,0,0,0,1.296e-4
COPE_0728.fp2.repr,NA,0,0.9996076000392399,0,3.99999960000004e-7,0,3.9199996080000393e-4
COPE_0729.fp2.repr,z1,0,0.99999469999947,0,0,0,5.3000005300000535e-6
COPE_0730.fp2.repr,z1,0,0.9999985,0,0,0,1.5e-6
COPE_0731.fp2.repr,z1,0,0.9999969,0,0,0,3.1e-6
COPE_0732.fp2.repr,z1,0,0.999977,0,0,0,2.3e-5
COPE_0734.fp2.repr,z1,0,0.9999978,0,0,0,2.2e-6
