Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
COPE-0656.fp2_r1_screen	995.0	107.0	24.0	82.0	70.0	57.0	21.0	1.0	0.0	3181.0	367421.0
COPE-0656.fp2_r2_screen	1119.0	394.0	122.0	276.0	97.0	50.0	4.0	2.0	0.0	2995.0	366900.0
COPE-0657.fp2_r1_screen	5660.0	496.0	64.0	535.0	279.0	323.0	41.0	2.0	0.0	15711.0	2830007.0
COPE-0657.fp2_r2_screen	5559.0	2740.0	423.0	1040.0	805.0	277.0	31.0	14.0	1.0	20495.0	2821733.0
COPE-0658.fp2_r1_screen	778.0	240.0	67.0	47.0	49.0	9.0	19.0	1.0	0.0	5587.0	616719.0
COPE-0658.fp2_r2_screen	1779.0	3316.0	101.0	507.0	342.0	46.0	42.0	3.0	0.0	13381.0	603999.0
COPE-0659.fp2_r1_screen	550.0	51.0	17.0	23.0	89.0	31.0	10.0	0.0	0.0	9774.0	302353.0
COPE-0659.fp2_r2_screen	860.0	437.0	291.0	165.0	32.0	38.0	6.0	0.0	0.0	9498.0	301571.0
COPE-0660.fp2_r1_screen	1552.0	190.0	100.0	102.0	144.0	195.0	83.0	0.0	0.0	6872.0	878961.0
COPE-0660.fp2_r2_screen	2460.0	897.0	273.0	433.0	265.0	39.0	6.0	0.0	0.0	6375.0	877451.0
COPE-0661.fp2_r1_screen	12601.0	2142.0	572.0	701.0	1196.0	613.0	287.0	75.0	2.0	38339.0	7284751.0
COPE-0661.fp2_r2_screen	14861.0	6664.0	2116.0	4045.0	1237.0	384.0	85.0	9.0	0.0	53556.0	7258322.0
COPE-0662.fp2_r1_screen	3869.0	915.0	494.0	80.0	362.0	149.0	65.0	2.0	0.0	15501.0	2101003.0
COPE-0662.fp2_r2_screen	5392.0	2219.0	385.0	1982.0	901.0	310.0	134.0	0.0	0.0	22637.0	2088480.0
COPE-0663.fp2_r1_screen	16844.0	2042.0	6717.0	860.0	463.0	782.0	394.0	5.0	4.0	226304.0	7228355.0
COPE-0663.fp2_r2_screen	21484.0	14968.0	8961.0	4877.0	577.0	526.0	65.0	8.0	0.0	227642.0	7203662.0
COPE-0664.fp2_r1_screen	5440.0	620.0	77.0	377.0	524.0	277.0	123.0	10.0	0.0	15755.0	2674767.0
COPE-0664.fp2_r2_screen	7493.0	2173.0	140.0	2051.0	1032.0	249.0	18.0	104.0	0.0	22893.0	2661817.0
COPE-0665.fp2_r1_screen	2469.0	546.0	324.0	175.0	162.0	275.0	105.0	9.0	0.0	8469.0	1462012.0
COPE-0665.fp2_r2_screen	2654.0	1687.0	561.0	739.0	599.0	320.0	9.0	1.0	0.0	12305.0	1455671.0
COPE-0666.fp2_r1_screen	191.0	37.0	38.0	7.0	6.0	3.0	3.0	0.0	0.0	915.0	73748.0
COPE-0666.fp2_r2_screen	236.0	88.0	55.0	55.0	13.0	2.0	1.0	0.0	0.0	952.0	73546.0
COPE-0667.fp2_r1_screen	6700.0	586.0	180.0	167.0	198.0	353.0	72.0	2.0	0.0	20505.0	2906224.0
COPE-0667.fp2_r2_screen	7830.0	2419.0	711.0	787.0	1325.0	332.0	28.0	2.0	0.0	15623.0	2905930.0
COPE-0668.fp2_r1_screen	637.0	122.0	59.0	9.0	50.0	32.0	4.0	2.0	0.0	3247.0	453096.0
COPE-0668.fp2_r2_screen	1296.0	330.0	47.0	302.0	196.0	26.0	26.0	1.0	0.0	4910.0	450124.0
COPE-0669.fp2_r1_screen	821.0	80.0	60.0	11.0	62.0	91.0	11.0	1.0	0.0	3202.0	277399.0
COPE-0669.fp2_r2_screen	878.0	393.0	129.0	171.0	141.0	174.0	7.0	0.0	0.0	3263.0	276582.0
COPE-0670.fp2_r1_screen	456.0	51.0	28.0	22.0	19.0	9.0	6.0	0.0	0.0	2313.0	140838.0
COPE-0670.fp2_r2_screen	507.0	233.0	42.0	135.0	32.0	188.0	2.0	1.0	0.0	2325.0	140277.0
