file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0605.fp2.repr.r1.fq.gz,COPE_0605,230321
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0606.fp2.repr.r1.fq.gz,COPE_0606,138883
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0607.fp2.repr.r1.fq.gz,COPE_0607,5111084
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0608.fp2.repr.r1.fq.gz,COPE_0608,1155568
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0609.fp2.repr.r1.fq.gz,COPE_0609,3072
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0610.fp2.repr.r1.fq.gz,COPE_0610,2109328
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0611.fp2.repr.r1.fq.gz,COPE_0611,5273606
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0612.fp2.repr.r1.fq.gz,COPE_0612,1620257
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0613.fp2.repr.r1.fq.gz,COPE_0613,3817504
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0614.fp2.repr.r1.fq.gz,COPE_0614,4392017
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0615.fp2.repr.r1.fq.gz,COPE_0615,1323537
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0616.fp2.repr.r1.fq.gz,COPE_0616,4068840
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0617.fp2.repr.r1.fq.gz,COPE_0617,1003099
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0618.fp2.repr.r1.fq.gz,COPE_0618,4217468
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0619.fp2.repr.r1.fq.gz,COPE_0619,828589
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0620.fp2.repr.r1.fq.gz,COPE_0620,1099247
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0621.fp2.repr.r1.fq.gz,COPE_0621,1563800
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0622.fp2.repr.r1.fq.gz,COPE_0622,140807
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0623.fp2.repr.r1.fq.gz,COPE_0623,2584967
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0624.fp2.repr.r1.fq.gz,COPE_0624,1608177
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0625.fp2.repr.r1.fq.gz,COPE_0625,73685
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0626.fp2.repr.r1.fq.gz,COPE_0626,571139
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0627.fp2.repr.r1.fq.gz,COPE_0627,1392605
