Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0852.r1r2_fastp	779602.0	0.0	0.0	46138.0
COPE-0853.r1r2_fastp	3117506.0	0.0	0.0	52434.0
COPE-0854.r1r2_fastp	472084.0	0.0	0.0	10132.0
COPE-0855.r1r2_fastp	299818.0	0.0	0.0	4862.0
COPE-0856.r1r2_fastp	1473576.0	0.0	0.0	105524.0
COPE-0857.r1r2_fastp	5947946.0	0.0	0.0	81820.0
COPE-0858.r1r2_fastp	159642.0	0.0	0.0	18828.0
COPE-0859.r1r2_fastp	180696.0	0.0	0.0	9598.0
COPE-0860.r1r2_fastp	1351408.0	0.0	0.0	233568.0
COPE-0861.r1r2_fastp	668532.0	0.0	0.0	11924.0
COPE-0862.r1r2_fastp	3500052.0	0.0	0.0	59504.0
COPE-0863.r1r2_fastp	1036086.0	0.0	0.0	51630.0
COPE-0864.r1r2_fastp	3451572.0	0.0	0.0	235378.0
COPE-0865.r1r2_fastp	734020.0	0.0	0.0	52348.0
