Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0907.fp2.repr,NA,0,1,0,0,0,0
COPE_0908.fp2.repr,z1,0,1,0,0,0,0
COPE_0909.fp2.repr,z1,0,1,0,0,0,0
COPE_0910.fp2.repr,z1,0,1,0,0,0,0
COPE_0911.fp2.repr,z1,0,1,0,0,0,0
COPE_0912.fp2.repr,z1,0,1,0,0,0,0
COPE_0913.fp2.repr,z1,0,1,0,0,0,0
COPE_0914.fp2.repr,z1,0,1,0,0,0,0
COPE_0915.fp2.repr,z1,0,1,0,0,0,0
COPE_0916.fp2.repr,z1,0,1,0,0,0,0
COPE_0917.fp2.repr,z1,0,1,0,0,0,0
COPE_0918.fp2.repr,z1,0,1,0,0,0,0
COPE_0919.fp2.repr,z0,1,0,0,0,0,0
COPE_0920.fp2.repr,z1,0,1,0,0,0,0
COPE_0921.fp2.repr,z1,0,1,0,0,0,0
COPE_0922.fp2.repr,z1,0,1,0,0,0,0
COPE_0923.fp2.repr,NA,0,1,0,0,0,0
COPE_0924.fp2.repr,z1,0,1,0,0,0,0
COPE_0925.fp2.repr,z1,0,1,0,0,0,0
COPE_0926.fp2.repr,NA,0,1,0,0,0,0
COPE_0927.fp2.repr,NA,0,1,0,0,0,0
COPE_0928.fp2.repr,NA,0,1,0,0,0,0
COPE_0929.fp2.repr,z1,0,1,0,0,0,0
COPE_0930.fp2.repr,NA,0,1,0,0,0,0
COPE_0931.fp2.repr,z1,0,1,0,0,0,0
COPE_0932.fp2.repr,z1,0,1,0,0,0,0
COPE_0933.fp2.repr,z1,0,1,0,0,0,0
COPE_0934.fp2.repr,z1,0,1,0,0,0,0
COPE_0935.fp2.repr,NA,0,0.99985,0,0,0,1.5e-4
COPE_0936.fp2.repr,NA,0,1,0,0,0,0
COPE_0937.fp2.repr,z1,0,1,0,0,0,0
COPE_0938.fp2.repr,z1,0,1,0,0,0,0
COPE_0939.fp2.repr,z1,0,1,0,0,0,0
COPE_0940.fp2.repr,z1,0,1,0,0,0,0
COPE_0941.fp2.repr,z1,0,1,0,0,0,0
COPE_0942.fp2.repr,z1,0,1,0,0,0,0
COPE_0943.fp2.repr,z0,1,0,0,0,0,0
COPE_0944.fp2.repr,z1,0,1,0,0,0,0
COPE_0945.fp2.repr,z1,0,1,0,0,0,0
COPE_0946.fp2.repr,z1,0,0.99998,0,0,0,2e-5
COPE_0947.fp2.repr,z0,1,0,0,0,0,0
COPE_0948.fp2.repr,NA,0,1,0,0,0,0
COPE_0949.fp2.repr,z1,0,1,0,0,0,0
COPE_0950.fp2.repr,z1,0,1,0,0,0,0
COPE_0951.fp2.repr,NA,0,1,0,0,0,0
COPE_0952.fp2.repr,z1,0,1,0,0,0,0
COPE_0953.fp2.repr,z1,0,1,0,0,0,0
